1,A browser-based programming language,10,1,1,1,1
2,State is used to store component data that can change over time,15,0,1,2,1
3,Cross-platform development with native performance,8,0,1,3,1
4,A browser-based programming language,5,1,1,1,2
5,State allows React components to create and manage their own data,18,1,1,2,2
6,A hardware security system,0,0,3,6,4
7,A security device that monitors network traffic,20,1,4,6,5
8,Normalization is the process of organizing data to reduce redundancy,22,1,4,4,5
9,State is a JavaScript object that stores component data,13,0,2,2,3
10,NumPy provides efficient arrays for numerical operations,15,1,5,5,5
