1,A browser-based programming language,1,1
2,A server-side programming language,0,1
3,A markup language,0,1
4,A database query language,0,1
5,Cross-platform development capabilities,1,3
6,Single platform focus,0,3
7,Limited UI components,0,3
8,Slow performance,0,3
9,NumPy arrays are more efficient for numerical operations,1,5
10,NumPy is slower than regular Python lists,0,5
11,NumPy can only handle integers,0,5
12,NumPy cannot be used for scientific computing,0,5
13,A security device that monitors network traffic,1,6
14,A type of computer virus,0,6
15,A hardware encryption device,0,6
16,A password manager,0,6
